subject, type, classifier, precision, precision std, recall, recall std, f1, f1 std ,
101812rm, unrolled, SVM (linear),0.462962963,0.037465706,0.555555556,0.033950617,0.493055556,0.035767104,0.505050505
101812rm, unrolled, SVM (rbf),0.203703704,0.030392661,0.347222222,0.034529321,0.241071429,0.034079546,0.256769374
101812rm, unrolled, GNB,0.33912037,0.022809231,0.458333333,0.014467593,0.373611111,0.020365869,0.389816159
101812rm, unrolled, NN,0.425925926,0.011231139,0.569444444,0.011381173,0.472222222,0.01093107,0.487338501
101812rm, untimed, SVM (linear),0.448718334,0.007117301,0.435185185,0.006601509,0.431437678,0.006570424,0.441848159
101812rm, untimed, SVM (rbf),0.29327902,0.025690165,0.31712963,0.011761617,0.284017748,0.020356392,0.304738365
101812rm, untimed, GNB,0.329606717,0.009467094,0.342592593,0.006472908,0.307836618,0.006425064,0.335974221
101812rm, untimed, NN,0.598093342,0.009630958,0.574074074,0.008144719,0.568188773,0.008611263,0.585837615
101812rm, cortex, SVM (linear),0.456515051,0.005784886,0.444444444,0.007073045,0.425574725,0.006093311,0.45039889
101812rm, cortex, SVM (rbf),0.266048424,0.01012686,0.268518519,0.004801097,0.246371455,0.008169441,0.267277765
101812rm, cortex, GNB,0.4108434,0.026536206,0.351851852,0.012774348,0.322400066,0.015693635,0.379066241
101812rm, cortex, NN,0.596766775,0.008984776,0.587962963,0.00370799,0.555401781,0.004527397,0.592332158
122310el,1000, SVM (linear),0.510412157,0.004651094,0.489583333,0.001916956,0.476142346,0.002018421,0.499780824
122310el,1000, SVM (rbf),0.419746573,0.013383979,0.402777778,0.007330247,0.383432584,0.008928752,0.411087141
122310el,1000, GNB,0.306298788,0.009769174,0.291666667,0.006365741,0.257984929,0.007027643,0.298803705
122310el,1000, NN,0.430844907,0.007143323,0.4375,0.006896219,0.41463532,0.005657472,0.434146951
122310el,2000, SVM (linear),0.533183021,0.003532903,0.506944444,0.00226659,0.499275588,0.001636975,0.519732781
122310el,2000, SVM (rbf),0.412118784,0.031513204,0.357638889,0.015516493,0.34159788,0.021366968,0.382950919
122310el,2000, GNB,0.345244646,0.016379558,0.329861111,0.006643036,0.291408933,0.008135496,0.337377607
122310el,2000, NN,0.354180324,0.019826278,0.364583333,0.007414641,0.327439361,0.011740488,0.359306545
122310el,3000, SVM (linear),0.51018744,0.001325136,0.472222222,0.005594136,0.456569465,0.002734516,0.490471248
122310el,3000, SVM (rbf),0.324511394,0.037670384,0.315972222,0.011562018,0.284699517,0.02371839,0.320184884
